model_id,n_features_all,n_features_selected,model_type,score_type,score_valid_mean,score_test
ID0H4PHGNML0PO75,392,8,LinearRegression,mean_squared_error,0.08691424309044245,0.11259734651641329
CHOM8HKPYKYPY6YY,392,47,HuberRegressor,mean_squared_error,0.08808278746187381,0.09839850763515436
XC4X392WVK9FCWFC,392,17,RANSACRegressor,mean_squared_error,0.09006406828330477,0.09709703176497578
DVOREJ8HAX58VKVU,392,22,ARDRegression,mean_squared_error,0.09147514494862732,0.08948800060376827
U9SPE877XK5OK86N,392,37,HuberRegressor,mean_squared_error,0.0893793139792557,0.10057464431839318
MEIVPDX0PUTNYW5S,392,34,HuberRegressor,mean_squared_error,0.08978304386097383,0.10027636892451582
S0B9PTPP9FU8LXE4,392,17,HuberRegressor,mean_squared_error,0.08874415476107261,0.100843251403677
W5HC8TGW99FV8SIL,392,33,HuberRegressor,mean_squared_error,0.08909430076124635,0.10146582571631797
IYYGXMJ76HXB43XO,392,26,RANSACRegressor,mean_squared_error,0.08482089109849979,0.1248669089810976
VZC4B0X9AAHMCYGC,392,44,LassoLars,mean_squared_error,0.09220244765886075,0.09104124267631623
573ZARN3U7A8VESU,392,18,LassoLarsIC,mean_squared_error,0.0893009999079275,0.1008161837212221
RH96WYGJMDTZCGLP,392,6,RANSACRegressor,mean_squared_error,0.08911478893388956,0.0965967923660918
J3ZFA5WPDA8GPK7N,392,23,LinearRegression,mean_squared_error,0.0904311798011616,0.10129969783964787
RO3L29WMIM8QZT4Y,392,17,LinearRegression,mean_squared_error,0.09051555228744093,0.09936418162938748
QKK5TSL8JTFYZ1W8,392,9,RANSACRegressor,mean_squared_error,0.08365401453612176,0.1208233345190636
QKMXI4BSDFU4PZTK,392,15,RANSACRegressor,mean_squared_error,0.08930841455468379,0.10567494001456015
3BN8MU4X4W6OWJBE,392,9,RANSACRegressor,mean_squared_error,0.08316917164077815,0.12400794487046966
Q8BEBK7LF12ZTGI7,392,28,RANSACRegressor,mean_squared_error,0.0880608430981181,0.11787136017047706
0TB4BAWX10PV3BHG,392,41,BayesianRidge,mean_squared_error,0.0862656255535234,0.11697375143444619
2G8HTZBQM3BRYU3O,392,48,PassiveAggressiveRegressor,mean_squared_error,0.08837692912884522,0.10809501865819135
J5D8XYLYQYE7CKAT,392,17,LinearRegression,mean_squared_error,0.08537562680737408,0.11589260695174555
H51Z4CXZHZSHWEL9,392,13,BayesianRidge,mean_squared_error,0.08712204044364391,0.10674777662139139
ZQQJIJ3DRB2XCR1A,392,21,ARDRegression,mean_squared_error,0.0860558342036182,0.11174049290083596
FWUXZ94EF72IS238,392,8,Lasso,mean_squared_error,0.08727588695138114,0.10585762995065218
CUDPZIP1TRJMUU3F,392,42,LassoLarsIC,mean_squared_error,0.09385507618960834,0.083470647512528
0Z62R866JWPNL0U6,392,39,LinearRegression,mean_squared_error,0.08995248426924621,0.0959510668913719
7KKUWDM5SSFD8O04,392,11,BayesianRidge,mean_squared_error,0.08800688020109951,0.10367689679283269
SL234CNK45SSJ5LP,392,42,Lasso,mean_squared_error,0.09143897951485394,0.09034648469849313
LQWB93TFB010WX81,392,9,ARDRegression,mean_squared_error,0.08859862798245141,0.09985533540762231
UY3SZ3YCV1VFDRXK,392,14,ARDRegression,mean_squared_error,0.08173821277739643,0.12833575804877775
M0T93GUIPR8ZJRJJ,392,25,BayesianRidge,mean_squared_error,0.09029965519964274,0.0977120473272803
OATP8AKWP5U1T6U7,392,41,HuberRegressor,mean_squared_error,0.08634120285970964,0.1188440337760126
BM60FCQ4ULMQMGCJ,392,42,LassoLarsIC,mean_squared_error,0.08780977609983766,0.10692140903376177
JDU33VYTQOQLWJA8,392,40,LassoLars,mean_squared_error,0.08723959666909346,0.1089165741189706
FN5WNNCOAKUWRRPD,392,22,BayesianRidge,mean_squared_error,0.08644249123094841,0.11480104716880653
XC7H0HKTPGMR7CMU,392,7,RANSACRegressor,mean_squared_error,0.08364939420557309,0.12515421382533204
4O8VIVOGWAFJBO42,392,27,Lasso,mean_squared_error,0.08773185647594064,0.10886575475175993
KU0ENAHKD5D9DAEX,392,16,HuberRegressor,mean_squared_error,0.08918171408046735,0.1004950548659947
