model_id,n_features_all,n_features_selected,model_type,score_type,score_valid_mean,score_test
7R78D6V7971TLK4W,392,14,LassoLarsIC,mean_squared_error,0.08710814336468978,0.10676519539099527
WHBUC5J1DJEBN6H2,392,14,ARDRegression,mean_squared_error,0.0836950238364084,0.1209255169121487
0WB355FVFR68ZHAI,392,14,HuberRegressor,mean_squared_error,0.08548855143093834,0.11575663618532055
M12IN2RPTDF2FSNE,392,14,Lasso,mean_squared_error,0.08816461182367966,0.10204557585058774
3QZ0M12NPTY8AHPU,392,14,ARDRegression,mean_squared_error,0.08568474789805777,0.11431228958141966
RG06FG4TD8HCXUVU,392,14,LassoLarsIC,mean_squared_error,0.08548828130877943,0.11395407928512884
UGQ57EZZFVPI2DCS,392,14,LassoLarsIC,mean_squared_error,0.08675272358809084,0.10779811594879063
F0E0LG5TBCLTFX48,392,14,ARDRegression,mean_squared_error,0.08450383798202807,0.1151188687756127
ZHVO4T32BP79OHWJ,392,14,LinearRegression,mean_squared_error,0.08867658758341686,0.10133340959243113
HRTVESP65EVMMAJN,392,14,LassoLarsIC,mean_squared_error,0.08545382677893684,0.11151705731093801
B42M8P2Q0FI5S1RN,392,14,ARDRegression,mean_squared_error,0.0906910417238479,13.803971057747171
BEPGX7YV74WGU85Y,392,14,ARDRegression,mean_squared_error,0.08709562344947135,13.269766679260169
VSAHN5VXAEEKB24G,392,14,LassoLarsIC,mean_squared_error,0.0888639031478973,0.10256077349930308
4BP80S3IW30XG52L,392,14,LassoLars,mean_squared_error,0.08876279121070886,0.09960741996355041
MD9UT3E78H54LM0O,392,14,ARDRegression,mean_squared_error,0.08704334791223006,0.10916111495294242
GFDKC23S6A1JO5WA,392,14,BayesianRidge,mean_squared_error,0.08518835275331163,0.1174840334052913
HAAKHIYOZCQNK5SA,392,14,ARDRegression,mean_squared_error,0.08817327690962445,0.10248424789328321
DLO22219Q46D278S,392,14,ARDRegression,mean_squared_error,0.08498585285900995,0.11506245144058602
IRC9HRPFZ1FUDGQI,392,14,ARDRegression,mean_squared_error,0.08922223597435126,14.197288002721786
C7MUNCP2LOM0ET0Q,392,14,ARDRegression,mean_squared_error,0.08592336028364721,0.11128620125145963
ON600CFNE23W04QR,392,14,ARDRegression,mean_squared_error,0.08547685580488024,0.11465698621063587
SGCUNHHBHM69B3BJ,392,14,LassoLarsIC,mean_squared_error,0.08813526899554297,0.10208254767549034
AG241YPE7P4N9C6M,392,14,ARDRegression,mean_squared_error,0.0883904033418894,0.10571943447451455
FIJXUPWD21UGVQS6,392,14,HuberRegressor,mean_squared_error,0.08758153595241973,0.11121609796018125
INBH08NCP0PQ7YKM,392,14,ARDRegression,mean_squared_error,0.08755638848099055,13.449544970944412
52N52HQVG7MLTBGL,392,14,PassiveAggressiveRegressor,mean_squared_error,0.08766721248889772,0.10510253523100918
